name,header,superhost,guests_rooms,rating,reviews,location,rarity,rarity_desc,house_rules,health_safety,cancellation,host_response,per night,total price,url,host
K1／Big Room & Great View/Nishiki Market 5 minute,Entire rental unit,None,4 guests · 1 bedroom · 1 bed · 1 bath,4.72 ·,46 reviews,"Kyoto, Kyoto Prefecture, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $236Show more",Free cancellation before Jul 28.,"Policy number: M260013751Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$137.00 x 7 nights,$546.63,https://www.airbnb.com/rooms/32596821?adults=2&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000,D.K.S
"(Near Gion)Machiya inside a temple, stay with Zen.",Entire townhouse,Superhost,4 guests · 2 bedrooms · 4 beds · 3 baths,4.87 ·,423 reviews,"京都市, 京都府, Japan",This is a rare find.,Hershey's place on Airbnb is usually fully booked.,House rulesCheck-in: 3:00 PM - 2:00 AMCheckout: 11:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Pool/hot tub without a gate or lock󱠃Nearby lake, river, other body of waterCarbon monoxide alarmSmoke alarmShow more",Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保保医第８７６号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$279.94 x 7 nights,"$1,795.14",https://www.airbnb.com/rooms/12356675?adults=2&children=0&infants=0&check_in=2022-08-25&check_out=2022-09-01&previous_page_section_name=1000,Hershey
Kyotofish·Higashiyama*100Yr Machiya*GardenviewBath,Entire villa,Superhost,6 guests · 3 bedrooms · 6 beds · 2 baths,4.84 ·,116 reviews,"Higashiyama-ku, Kyōto-shi, Kyōto-fu, Japan",Good price.,Your dates are $23 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 19.,"Policy number: Hotels and Inns Business Act | 京都市保健所 | 京都市指令保医セ第128号Languages: 中文 (简体), English, Français, 日本語, 한국어, EspañolResponse rate: 100%Response time: within an hour",$94.48 x 7 nights,$675.56,https://www.airbnb.com/rooms/25112153?adults=2&children=0&infants=0&check_in=2022-08-20&check_out=2022-08-27&previous_page_section_name=1000,Karen
"CITY-CENTER, UNIQUE, LUXURY, HISTORICAL TOWNHOUSE",Entire home,Superhost,6 guests · 3 bedrooms · 5 beds · 2 baths,4.99 ·,182 reviews,"Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 2:00 PM - 10:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Jul 16.,"Policy number: Hotels and Inns Business Act | 京都市指令保保医第 | ８０６号Languages: English, Français, 日本語Response rate: 100%Response time: within an hour",$341.43 x 7 nights,"$2,610.44",https://www.airbnb.com/rooms/9502914?adults=2&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000,Chie & Chris
Machiya near Philosopher's walk  哲学の道まで５分  京町家 弐の庵,Entire home,None,5 guests · 3 bedrooms · 4 beds · 1 bath,4.89 ·,46 reviews,"Sakyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 3:00 PM - 10:00 PMCheckout: 11:00 AMNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Jul 27.,Policy number: M260009120Response rate: 90%Response time: within a few hours,$96.73 x 7 nights,$779.02,https://www.airbnb.com/rooms/29246177?adults=2&children=0&infants=0&check_in=2022-08-26&check_out=2022-09-02&previous_page_section_name=1000,Nao
Kyoto's Traditional Villa - Nozomu House Kyoto,Entire townhouse,Superhost,5 guests · 2 bedrooms · 2 beds · 1.5 baths,5.0 ·,5 reviews,"Higashiyama Ward, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: 3:00 PM - 8:00 PM,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show more󱠃Security camera/recording device Show moreSmoke alarmShow more,Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都府 京都市指令保医セ | 京都市指令保医セ第745号Languages: English, 日本語Response rate: 100%Response time: within an hour",$527.18 x 7 nights,"$2,767.71",https://www.airbnb.com/rooms/48017622?adults=2&children=0&infants=0&check_in=2022-08-13&check_out=2022-08-20&previous_page_section_name=1000,Kyoto House
Hinoki Garden View Bath Machiya - KYORAN KYOGETSU,Entire townhouse,Superhost,5 guests · 2 bedrooms · 2 baths,4.85 ·,154 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $118Show more",Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第　７５８　号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$226.36 x 7 nights,"$1,491.39",https://www.airbnb.com/rooms/22473769?adults=2&children=0&infants=0&check_in=2022-08-24&check_out=2022-08-31&previous_page_section_name=1000,Keirei
｢ 日 ･ 五 条 ｣ Hiyori Gojo * 京 町 家 貸 切 * 五 条 駅 (Gojo Sta.) * 四 条 jo Nishiki Market * 日 式 大 院 院 (Japanese-style) * 地 温,Entire townhouse,Superhost,9 guests · 4 bedrooms · 2 beds · 2 baths,4.96 ·,47 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",Good price.,Your dates are $213 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show more󱠃Pool/hot tub without a gate or lockCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Jul 26.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 第97号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$157.47 x 7 nights,"$1,187.33",https://www.airbnb.com/rooms/32902156?adults=2&children=0&infants=0&check_in=2022-08-25&check_out=2022-09-01&previous_page_section_name=1000,Yu
Kyotofish·Gojo*DT Kamogawa Machiya*3mins to Subway,Entire villa,Superhost,5 guests · 3 bedrooms · 5 beds · 2 baths,4.79 ·,105 reviews,"Higashiyama-ku, Kyoto, Kyoto, Japan",This is a rare find.,Karen's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Jul 31.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 第295号Languages: 中文 (简体), English, Français, 日本語, 한국어, EspañolResponse rate: 100%Response time: within an hour",$94.48 x 7 nights,$687.37,https://www.airbnb.com/rooms/38557386?adults=2&children=0&infants=0&check_in=2022-08-01&check_out=2022-08-08&previous_page_section_name=1000,Karen
Luxury Machiya House Near Subway -Gojo Miyabi Inn,Entire home,Superhost,8 guests · 3 bedrooms · 8 beds · 1 bath,4.90 ·,11 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: 3:00 PM - 8:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo parties or eventsPets are allowedShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 22.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 第769号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$118.10 x 7 nights,$907.43,https://www.airbnb.com/rooms/23048176?adults=2&children=0&infants=0&check_in=2022-08-23&check_out=2022-08-30&previous_page_section_name=1000,Lrc Staff
★Keimachiya Fully Renovated★ Shijo Karasuma Area for Rent in the Meiji Period Walking distance from Shijo Karasuma area 7-minute walk from Gojo★ subway station,Entire home,Superhost,5 guests · 3 bedrooms · 2 beds · 1.5 baths,4.92 ·,13 reviews,"Shimogyo Ward, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: After 4:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo parties or eventsPets are allowed,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 28.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第526号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$132.27 x 7 nights,$970.00,https://www.airbnb.com/rooms/50119444?adults=2&children=0&infants=0&check_in=2022-08-29&check_out=2022-09-05&previous_page_section_name=1000,Ryo
"Explore Gion! Rental bikes, Wifi available-1F",Entire home,None,5 guests · 1 bedroom · 4 beds · 1 bath,4.64 ·,14 reviews,"Higashiyama Ward, Kyoto, Kyoto, Japan",None,None,House rulesCheck-in: 4:00 PM - 11:00 PMCheckout: 10:00 AMSelf check-in with building staffNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show moreSmoke alarmShow more,Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都市 保健福祉局 医療保健推進室 医療衛生センター | 京都市指令保医セ第５１７号Languages: English, Deutsch, 日本語Response rate: 100%Response time: within an hour",$19.68 x 7 nights,$194.31,https://www.airbnb.com/rooms/36496314?adults=2&children=0&infants=0&check_in=2022-08-12&check_out=2022-08-19&previous_page_section_name=1000,Stay Fuji
Kyomachiya style villa-Akira,Entire villa,Superhost,4 guests · 1 bedroom · 1 bed · 1.5 baths,4.88 ·,17 reviews,"Kyoto, Japan",None,None,House rulesCheck-in: 4:00 PM - 8:00 PMCheckout: 11:00 AMSelf check-in with keypadNot suitable for infants (under 2 years)No smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 16.,"Policy number: M260027414Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$62.99 x 7 nights,$561.03,https://www.airbnb.com/rooms/46733300?adults=2&children=0&infants=0&check_in=2022-08-21&check_out=2022-08-28&previous_page_section_name=1000,Derrick
Vaction rental house・ Stylish spacious living room,Entire home,Superhost,5 guests · 2 bedrooms · 3 beds · 1 bath,4.96 ·,170 reviews,"Nakagyō-ku, Kyōto-shi, Kyōto-fu, Japan",This is a rare find.,Suzu's place on Airbnb is usually fully booked.,House rulesCheck-in: After 4:00 PMCheckout: 10:00 AMSelf check-in with lockboxNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Jul 24.,Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 356 号Response rate: 100%Response time: within an hour,$72.55 x 7 nights,$588.25,https://www.airbnb.com/rooms/21246235?adults=2&children=0&infants=0&check_in=2022-08-23&check_out=2022-08-30&previous_page_section_name=1000,Takeshi
【Disinfection】KyotoShijoSta.4mins！King Deluxe R101,Entire rental unit,Superhost,3 guests · 1 bedroom · 2 beds · 1 bath,4.94 ·,136 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",Lower price.,Your dates are $108 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: After 4:00 PMCheckout: 11:00 AMSelf check-in with building staffNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 3.,"Policy number: Hotels and Inns Business Act | 京都市指令保医 | 京都市指令保医セ第835号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$30.14 x 7 nights,$265.77,https://www.airbnb.com/rooms/24607390?adults=2&children=0&infants=0&check_in=2022-08-04&check_out=2022-08-11&previous_page_section_name=1000,Aika
"Gion area,Kyoto Cozy&Beautiful traditional house.",Hut,None,4 guests · 2 bedrooms · 2 beds · 1 bath,4.60 ·,5 reviews,"Higashiyama Ward, Kyoto, Kyoto, Japan",Extend your trip and save.,None,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $236Show more",Free cancellation before Aug 8.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保保生第５１号Languages: 中文 (简体), English, 日本語Response rate: 92%Response time: within an hour",$129.91 x 7 nights,"$1,106.94",https://www.airbnb.com/rooms/53471002?adults=2&children=0&infants=0&check_in=2022-08-09&check_out=2022-08-16&previous_page_section_name=1000,崇
【Disinfection】KyotoShijoSta.4mins!King Deluxe R501,Entire rental unit,Superhost,2 guests · 1 bedroom · 1 bed · 1 bath,4.96 ·,174 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",Lower price.,Your dates are $108 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: 4:00 PM - 10:00 PMCheckout: 11:00 AMSelf check-in with building staffNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 11.,"Policy number: Hotels and Inns Business Act | 京都市指令保医 | セ第835号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$30.14 x 7 nights,$265.77,https://www.airbnb.com/rooms/24162787?adults=2&children=0&infants=0&check_in=2022-08-12&check_out=2022-08-19&previous_page_section_name=1000,Aika
MANGA Design・2 Beds・Free WIFI・Baggage keeper,Room in aparthotel,Superhost,2 guests · 1 bedroom · 2 beds · 1 bath,4.79 ·,128 reviews,"Shimogyo Ward, Kyoto, Kyoto, Japan",Lower price.,Your dates are $150 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: 3:00 PM - 12:00 AMCheckout: 11:00 AMSelf check-in with building staffNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 29.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第95号Languages: English, 日本語Response rate: 98%Response time: within an hour",$47.69 x 7 nights,$297.12,https://www.airbnb.com/rooms/51135166?adults=2&children=0&infants=0&check_in=2022-08-30&check_out=2022-09-06&previous_page_section_name=1000,Hotel Tavinos Kyoto
Brooklyn style room near Kiyomizu dera temple[BR]2,Entire condo,None,5 guests · 1 bedroom · 3 beds · 1 bath,4.70 ·,88 reviews,"Shimogyō-ku, Kyoto, Kyoto, Japan",Good price.,Your dates are $46 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: 3:00 PM - 12:00 AMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No smoke alarm󱠆Carbon monoxide alarm not reported Show more󱠃Security camera/recording device Show moreShow more,Free cancellation before Jul 29.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第905号Languages: English, 日本語Response rate: 100%Response time: within an hour",$57.59 x 7 nights,$467.10,https://www.airbnb.com/rooms/34519639?adults=2&children=0&infants=0&check_in=2022-08-03&check_out=2022-08-10&previous_page_section_name=1000,RESISTAY Support
Ginkakuji Vacation is just the place for you!,Entire home,Superhost,3 guests · 1 bedroom · 2 beds · 1 bath,5.0 ·,60 reviews,"Sakyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 3:00 PM - 8:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $118Show more",Free cancellation before Aug 2.,Policy number: M260006234Response rate: 100%Response time: within an hour,$94.48 x 7 nights,$706.20,https://www.airbnb.com/rooms/27529660?adults=2&children=0&infants=0&check_in=2022-08-07&check_out=2022-08-14&previous_page_section_name=1000,Jun
【INN Plus General Castle】Japanese style｜Nijo,Entire townhouse,None,6 guests · 3 bedrooms · 2 beds · 2 baths,4.75 ·,16 reviews,"Nakagyo Ward, Kyoto, Kyoto, Japan",This is a rare find.,Saki's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Jul 27.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第　718　号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$185.86 x 7 nights,$520.42,https://www.airbnb.com/rooms/50758080?adults=2&children=0&infants=0&check_in=2022-08-01&check_out=2022-08-08&previous_page_section_name=1000,Saki
MAX3!7min to Kyoto Sta.Free WiFi&Android TV![STTK],Entire condo,None,3 guests · 1 bedroom · 2 beds · 1 bath,4.89 ·,9 reviews,"Kyoto, Japan",None,None,House rulesCheck-in: 3:00 PM - 12:00 AMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarm󱠃Security camera/recording device Show moreSmoke alarmShow more,Free cancellation before Aug 15.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第950号Languages: English, 日本語Response rate: 100%Response time: within an hour",$54.66 x 7 nights,$439.27,https://www.airbnb.com/rooms/33893377?adults=2&children=0&infants=0&check_in=2022-08-20&check_out=2022-08-27&previous_page_section_name=1000,RESISTAY Support
"About 6 minutes on foot from ""Hiyori Mitake"" Kyoto-machiya private subway Gojo station",Entire townhouse,Superhost,5 guests · 2 bedrooms · 2 beds · 2 baths,4.72 ·,50 reviews,"Shimogyo Ward, Kyoto, Kyoto, Japan",Good price.,Your dates are $43 less than the avg. nightly rate over the last 3 months.,House rulesCheck-in: After 3:00 PMCheckout: 11:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Security camera/recording device Show moreCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Jul 29.,"Policy number: Hotels and Inns Business Act | 京都市医療衛生センター | 京都市指令保医セ第315号　Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$157.47 x 7 nights,"$1,179.45",https://www.airbnb.com/rooms/46597447?adults=2&children=0&infants=0&check_in=2022-08-28&check_out=2022-09-04&previous_page_section_name=1000,Yu
Garden view Suite. One stop from JR Kyoto Station.,Entire home,None,5 guests · 2 bedrooms · 5 beds · 1 bath,4.77 ·,26 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 29.,Policy number: Hotels and Inns Business Act | 京都市長　門川　大作 | 京都市指令保医第487号Language: 日本語Response rate: 100%Response time: within an hour,$118.10 x 7 nights,$980.69,https://www.airbnb.com/rooms/28627521?adults=2&children=0&infants=0&check_in=2022-08-30&check_out=2022-09-06&previous_page_section_name=1000,Takeo
EXPERIENCE JAPAN-大院,Entire villa,Superhost,6 guests · 3 bedrooms · 3 beds · 2 baths,4.84 ·,137 reviews,"京都市左京区, 京都府, Japan",Lower price.,Your dates are $746 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: 3:00 PM - 6:00 PMCheckout: 11:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃Nearby lake, river, other body of waterCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $472Show more",Free cancellation for 48 hours.,"Policy number: M260014593Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$204.71 x 7 nights,"$1,743.09",https://www.airbnb.com/rooms/21567997?adults=2&children=0&infants=0&check_in=2022-08-02&check_out=2022-08-09&previous_page_section_name=1000,Zhang
Kyomachiya garden view!・ 1 station from JR Kyoto,Entire townhouse,None,5 guests · 2 bedrooms · 5 beds · 1 bath,4.86 ·,115 reviews,"Shimogyo-ku Kyoto city, Kyoto, Japan",Lower price.,Your dates are $92 less than the avg. nightly rate of the last 60 days.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with keypadNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 26.,"Policy number: Hotels and Inns Business Act | 京都市長　門川　大作 | 京都市指令保医第487号Languages: English, 日本語Response rate: 100%Response time: within an hour",$118.10 x 7 nights,$980.69,https://www.airbnb.com/rooms/28142792?adults=2&children=0&infants=0&check_in=2022-08-27&check_out=2022-09-03&previous_page_section_name=1000,Mari
[ND] Lovely Gion Studio 3 Mins to Higashiyama St,Entire townhouse,None,2 guests · 1 bedroom · 2 beds · 1.5 baths,4.86 ·,233 reviews,"Higashiyama-ku, Kyoto-shi, Kyoto, Japan",This is a rare find.,Kyo-Machiya's place on Airbnb is usually fully booked.,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMNo smokingNo petsNo parties or eventsShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $102Show more",Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都府京都市保健所 | 京都市指令保保医第346号Languages: 中文 (简体), English, 日本語",$56.22 x 7 nights,$401.37,https://www.airbnb.com/rooms/3565016?adults=2&children=0&infants=0&check_in=2022-08-22&check_out=2022-08-29&previous_page_section_name=1000,Matatabi
Free NETFLIX! Great location near kamo river&train,Entire home,Superhost,5 guests · 3 bedrooms · 6 beds · 1 bath,4.90 ·,124 reviews,"左京区, 京都府, Japan",None,None,House rulesCheck-in: 4:00 PM - 2:00 AMCheckout: 11:00 AMSelf check-in with smart lockNo smokingNo parties or eventsPets are allowed,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarm󱠃Security camera/recording device Show moreSmoke alarmShow more,Free cancellation before Aug 17.,"Policy number: Hotels and Inns Business Act | 京都市指令保医セ | 第５５１号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$107.98 x 7 nights,$651.91,https://www.airbnb.com/rooms/29327984?adults=2&children=0&infants=0&check_in=2022-08-22&check_out=2022-08-29&previous_page_section_name=1000,Raina&Jelly
Unique Architect Renovated Studio,Entire townhouse,Superhost,2 guests · 1 bedroom · 2 beds · 1 bath,4.98 ·,146 reviews,"京都市, 京都府, Japan",None,None,House rulesCheck-in: 4:00 PM - 10:00 PMCheckout: 11:00 AMNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠆Carbon monoxide alarm not reported Show moreSmoke alarmShow more,Free cancellation for 48 hours.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保医セ第 142 号Languages: English, 日本語Response rate: 100%Response time: within an hour",$118.78 x 7 nights,$889.87,https://www.airbnb.com/rooms/17818811?adults=2&children=0&infants=0&check_in=2022-08-05&check_out=2022-08-12&previous_page_section_name=1000,Kojiro And Seanacey
Mashiya stay in the heart of traditional district,Entire villa,None,6 guests · 4 bedrooms · 5 beds · 1.5 baths,5.0 ·,37 reviews,"Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: 2:00 PM - 10:00 PMCheckout: 10:00 AMSelf check-in with lockboxNot suitable for children and infantsNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 26.,"Policy number: Hotels and Inns Business Act | 京都市市役所保険福祉局医療衛生推進室医療衛生センター | 京都市指令保医ヤ第 578 号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$78.73 x 7 nights,$678.76,https://www.airbnb.com/rooms/30075722?adults=2&children=0&infants=0&check_in=2022-08-31&check_out=2022-09-07&previous_page_section_name=1000,Yanbin
【Disinfection】KyotoShijoSta.4mins!King Deluxe R201,Room in boutique hotel,Superhost,2 guests · 1 bedroom · 1 bed · 1 private bath,4.93 ·,145 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",Lower price.,Your dates are $108 less than the avg. nightly rate of the last 60 days.,Check-in: 4:00 PM - 12:00 AMCheckout: 11:00 AMSelf check-in with building staffNo smokingNo petsNo parties or events,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow all,Free cancellation before Aug 10.,"Policy number: Hotels and Inns Business Act | 京都市指令保医 | セ第835号Languages: 中文 (简体), English, 日本語Response rate: 100%Response time: within an hour",$30.14 x 7 nights,$265.77,https://www.airbnb.com/rooms/24615169?adults=2&children=0&infants=0&check_in=2022-08-11&check_out=2022-08-18&previous_page_section_name=1000,Aika
Pet-friendly no charge★The focus is on cleanliness,Entire home,Superhost,5 guests · 1 bedroom · 5 beds · 1 bath,4.95 ·,63 reviews,"Kyoto, Kyoto Prefecture, Japan",None,None,House rulesCheck-in: 4:00 PM - 2:00 AMCheckout: 12:00 PMSelf check-in with lockboxNo smokingNo parties or eventsPets are allowedShow more,"Health & safety󹀁Airbnb's COVID-19 safety practices apply󱠃No carbon monoxide alarmSmoke alarm󰐂Security Deposit - if you damage the home, you may be charged up to $101Show more",Free cancellation before Jul 22.,Policy number: M260005785Response rate: 100%Response time: within an hour,$80.98 x 7 nights,$626.40,https://www.airbnb.com/rooms/31078236?adults=2&children=0&infants=0&check_in=2022-08-21&check_out=2022-08-28&previous_page_section_name=1000,Shino
Kyotofish·Kyobu*Reformed Machiya*Gardenview Bath,Entire villa,Superhost,5 guests · 2 bedrooms · 5 beds · 1.5 baths,4.74 ·,167 reviews,"Shimogyō-ku, Kyōto-shi, Kyōto-fu, Japan",None,None,House rulesCheck-in: After 3:00 PMCheckout: 10:00 AMSelf check-in with smart lockNo smokingNo petsNo parties or eventsShow more,Health & safety󹀁Airbnb's COVID-19 safety practices applyCarbon monoxide alarmSmoke alarmShow more,Free cancellation before Aug 14.,"Policy number: Hotels and Inns Business Act | 京都市 | 京都市指令保保医第　1503　号Languages: 中文 (简体), English, Français, 日本語, 한국어, EspañolResponse rate: 100%Response time: within an hour",$94.48 x 7 nights,$671.62,https://www.airbnb.com/rooms/18435169?adults=2&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000,Karen
